,LocationID,zone,borough,number_of_schools,number_of_pois,number_of_universities
194,195,Red Hook,Brooklyn,5,71,0
195,196,Rego Park,Queens,4,35,0
196,197,Richmond Hill,Queens,14,51,0
197,198,Ridgewood,Queens,13,49,0
198,199,Rikers Island,Bronx,1,20,0
199,200,Riverdale/North Riverdale/Fieldston,Bronx,3,137,2
200,201,Rockaway Park,Queens,9,41,0
201,202,Roosevelt Island,Manhattan,1,41,0
202,203,Rosedale,Queens,4,42,0
203,204,Rossville/Woodrow,Staten Island,1,31,0
204,205,Saint Albans,Queens,10,55,0
205,206,Saint George/New Brighton,Staten Island,14,249,0
206,207,Saint Michaels Cemetery/Woodside,Queens,0,3,0
207,208,Schuylerville/Edgewater Park,Bronx,20,187,0
208,209,Seaport,Manhattan,2,41,1
209,210,Sheepshead Bay,Brooklyn,11,115,0
210,211,SoHo,Manhattan,0,10,0
211,212,Soundview/Bruckner,Bronx,7,61,0
212,213,Soundview/Castle Hill,Bronx,23,211,0
213,214,South Beach/Dongan Hills,Staten Island,3,54,0
214,215,South Jamaica,Queens,8,89,0
215,216,South Ozone Park,Queens,11,58,0
216,217,South Williamsburg,Brooklyn,6,73,0
217,218,Springfield Gardens North,Queens,12,56,0
218,219,Springfield Gardens South,Queens,5,33,0
219,220,Spuyten Duyvil/Kingsbridge,Bronx,6,70,0
220,221,Stapleton,Staten Island,7,102,0
221,222,Starrett City,Brooklyn,2,19,0
222,223,Steinway,Queens,5,164,0
223,224,Stuy Town/Peter Cooper Village,Manhattan,0,65,0
224,225,Stuyvesant Heights,Brooklyn,28,154,0
225,226,Sunnyside,Queens,16,89,1
226,227,Sunset Park East,Brooklyn,8,56,0
227,228,Sunset Park West,Brooklyn,23,143,0
228,229,Sutton Place/Turtle Bay North,Manhattan,2,71,0
229,230,Times Sq/Theatre District,Manhattan,2,119,0
230,231,TriBeCa/Civic Center,Manhattan,1,76,3
231,232,Two Bridges/Seward Park,Manhattan,13,194,0
232,233,UN/Turtle Bay South,Manhattan,1,173,0
233,234,Union Sq,Manhattan,5,44,1
234,235,University Heights/Morris Heights,Bronx,14,112,1
235,236,Upper East Side North,Manhattan,4,74,1
236,237,Upper East Side South,Manhattan,0,110,2
237,238,Upper West Side North,Manhattan,7,146,0
238,239,Upper West Side South,Manhattan,12,105,1
239,240,Van Cortlandt Park,Bronx,0,80,0
